2,3,1,1
1,13,1,1
16,31,13,1
4,12,1,1
6,10,2,1
1,6,1,1
4,15,0,1
9,19,2,1
5,12,4,1
1,8,0,1
2,5,3,1
14,15,2,1
21,41,3,1
2,5,0,1
3,4,8,1
6,12,0,1
7,9,0,1
2,5,1,1
6,11,3,1
5,8,2,1
1,7,1,1
0,4,2,1
13,22,4,1
7,10,4,1
24,56,2,1
3,5,2,1
8,21,0,1
8,37,1,1
0,3,0,1
0,4,1,1
7,7,5,1
10,17,5,1
9,22,2,1
8,19,2,1
3,28,2,1
8,14,8,1
4,13,0,1
5,14,3,1
5,18,0,1
12,21,1,1
0,2,0,1
3,13,2,1
3,4,3,1
2,7,0,1
7,10,3,1
4,14,4,1
5,11,2,1
4,3,1,1
1,9,1,1
13,24,6,1
14,27,3,1
3,17,4,1
19,25,8,1
11,10,2,1
16,34,7,1
7,20,2,1
1,1,0,1
13,11,6,1
3,10,3,1
4,3,1,1
1,8,1,1
16,16,11,1
4,5,1,1
1,3,0,1
6,3,3,1
15,31,5,1
28,50,6,1
16,45,5,1
11,14,4,1
7,14,3,1
4,15,0,1
12,28,4,1
3,8,1,1
3,13,1,1
7,12,1,1
7,14,0,1
1,10,0,1
12,15,5,1
13,21,0,1
0,1,0,1
5,3,2,1
1,4,0,1
5,12,3,1
9,17,3,1
8,14,0,1
5,10,2,1
10,73,0,1
8,23,4,1
2,2,0,1
8,12,1,1
1,8,1,1
3,5,0,1
0,3,0,1
25,20,11,1
5,3,4,1
1,2,1,1
16,26,3,1
4,20,1,1
1,7,0,1
13,19,2,1
5,9,1,1
5,16,2,1
4,15,3,1
3,5,3,1
6,9,3,1
12,14,5,1
9,14,5,1
6,8,2,1
4,19,2,1
2,20,4,1
4,10,2,1
3,17,0,1
3,11,2,1
4,8,1,1
2,11,0,1
2,9,0,1
11,14,2,1
6,20,2,1
1,4,0,1
15,30,1,1
12,21,3,1
6,22,2,1
9,9,14,1
7,7,1,1
7,11,2,1
1,3,0,1
11,28,3,1
3,6,3,1
9,36,5,1
15,13,5,1
12,26,5,1
4,11,2,1
3,11,3,1
11,18,4,1
10,27,1,1
26,63,2,1
5,19,5,1
5,11,0,1
2,11,2,1
22,37,8,1
7,13,2,1
8,22,0,1
2,11,0,1
2,13,1,1
6,20,0,1
3,2,2,1
1,9,0,1
4,9,3,1
11,16,4,1
9,20,1,1
2,11,0,1
2,16,2,1
10,6,1,1
6,11,3,1
4,1,0,1
5,8,2,1
7,11,0,1
11,25,3,1
4,10,1,1
10,13,10,1
3,19,1,1
2,5,0,1
10,32,0,1
1,8,0,1
14,33,3,1
5,13,0,1
0,5,0,1
7,16,0,1
1,2,7,1
0,2,0,1
1,2,2,1
4,20,3,1
8,9,0,1
4,13,3,1
1,3,1,1
0,1,0,1
0,10,0,1
0,3,0,1
6,13,3,1
8,28,2,1
9,38,0,1
11,17,1,1
13,25,3,1
1,4,0,1
4,11,1,1
4,11,2,1
7,10,0,1
2,16,0,1
0,2,1,1
4,11,0,1
12,29,3,1
3,13,0,1
5,10,4,1
16,29,4,1
5,6,3,1
4,7,1,1
10,12,2,1
3,10,3,1
3,5,1,1
1,3,0,1
5,20,2,1
3,6,0,1
6,11,2,1
1,6,1,1
1,4,0,1
11,22,3,1
4,8,0,1
0,1,0,1
4,8,0,1
17,18,3,1
1,3,2,1
5,13,3,1
5,27,0,1
3,11,2,1
2,9,3,1
7,24,0,1
5,5,3,1
4,4,4,1
2,3,1,1
4,5,0,1
7,19,0,1
3,4,1,1
9,16,1,1
6,10,1,1
2,7,2,1
1,3,0,1
0,3,0,1
4,20,0,1
0,1,0,1
3,4,1,1
3,4,0,1
1,3,0,1
3,5,0,1
7,10,4,1
8,17,0,1
3,10,0,1
21,36,9,1
41,35,5,1
8,10,3,1
3,12,1,1
4,1,2,1
8,13,5,1
8,26,4,1
8,12,2,1
5,8,1,1
7,17,4,1
6,7,3,1
4,2,4,1
9,7,3,1
9,9,4,1
12,12,5,1
3,12,2,1
0,1,0,1
0,2,1,1
17,31,3,1
4,5,2,1
1,3,0,1
3,5,1,1
4,7,1,1
5,13,2,1
7,36,2,1
12,26,0,1
9,16,1,1
1,5,1,1
21,35,9,1
3,8,3,1
5,7,0,1
28,74,5,1
1,7,1,1
2,15,0,1
15,38,1,1
2,7,1,1
19,49,6,1
5,18,3,1
8,18,3,1
8,23,2,1
4,19,1,1
6,10,4,1
2,2,0,1
6,17,1,1
1,16,3,1
2,3,0,1
5,12,3,1
10,17,5,1
6,13,4,1
8,10,2,1
5,7,0,1
2,13,0,1
6,19,2,1
5,4,3,1
4,7,0,1
4,22,1,1
4,12,5,1
0,3,0,1
1,1,0,1
0,4,0,1
2,7,0,1
8,16,1,1
5,7,0,1
17,33,3,1
4,16,2,1
7,38,1,1
8,2,6,1
0,9,0,1
1,5,1,1
0,2,0,1
2,15,1,1
1,9,0,1
4,13,1,1
2,14,0,1
6,10,0,1
5,23,1,1
5,7,7,1
1,3,0,1
1,1,1,1
6,23,1,1
8,33,0,1
14,32,2,1
0,0,0,1
0,6,0,1
8,21,2,1
5,8,3,1
0,2,0,1
0,1,0,1
8,27,6,1
10,27,4,1
5,18,2,1
17,40,2,1
10,19,1,1
5,12,0,1
9,19,4,1
3,3,0,1
2,6,0,1
2,5,0,1
4,11,2,1
1,2,1,1
2,3,0,1
5,13,0,1
2,6,2,1
0,1,0,1
7,13,1,1
16,46,3,1
1,4,1,1
6,26,7,1
3,14,0,1
1,4,0,1
15,38,6,1
7,12,1,1
10,22,4,1
2,9,0,1
0,3,0,1
1,2,1,1
3,12,0,1
1,2,1,1
8,20,2,1
7,3,3,1
5,10,2,1
7,18,0,1
3,11,1,1
0,3,0,1
10,17,0,1
5,11,1,1
0,1,0,1
3,3,0,1
1,1,0,1
3,7,0,1
18,40,5,1
5,10,3,1
9,9,2,1
0,1,0,1
6,7,4,1
6,12,0,1
5,5,3,1
5,5,0,1
5,19,4,1
0,5,0,1
2,13,1,1
14,26,1,1
4,9,2,1
3,11,1,1
6,6,0,1
4,17,1,1
5,9,2,1
3,6,0,1
3,29,3,1
3,9,0,1
18,40,3,1
2,3,0,1
4,10,1,1
11,13,1,1
6,2,2,1
3,5,3,1
5,10,1,1
7,5,3,1
11,24,3,1
2,5,2,1
4,16,0,1
6,15,3,1
4,4,2,1
0,4,1,1
2,6,0,1
20,27,4,1
1,7,1,1
4,4,6,1
9,19,1,1
3,1,1,1
5,4,0,1
2,3,2,1
4,7,1,1
3,9,1,1
4,16,2,1
2,10,5,1
15,52,3,1
7,22,0,1
2,19,3,1
10,30,2,1
9,6,4,1
7,14,1,1
7,4,1,1
2,5,0,1
5,3,0,1
0,9,0,1
7,12,0,1
17,35,2,1
2,9,0,1
2,9,1,1
2,18,3,1
16,42,4,1
5,9,3,1
0,2,0,1
0,1,0,1
2,10,0,1
2,12,1,1
4,9,3,1
2,2,0,1
2,10,1,1
9,9,1,1
0,5,0,1
11,14,3,1
2,5,0,1
1,10,0,1
3,3,0,1
6,20,0,1
1,2,2,1
6,16,1,1
6,14,0,1
5,20,1,1
7,13,4,1
5,27,2,1
5,6,1,1
17,65,6,1
1,3,0,1
2,6,2,1
4,18,1,1
0,1,0,1
8,17,2,1
1,4,0,1
0,6,0,1
2,7,1,1
1,4,0,1
1,2,2,1
3,7,2,1
3,12,0,1
4,14,0,1
10,15,1,1
5,14,1,1
6,11,0,1
0,1,0,1
8,23,3,1
0,3,0,1
3,22,0,1
10,4,1,1
