2,0,0,0,35
1,0,1,1,38
4,2,0,1,28
1,7,3,0,35
2,20,0,1,21
1,6,0,1,27
8,9,1,1,34
1,3,0,1,34
1,1,1,1,25
3,4,1,1,26
6,17,2,1,25
3,4,0,1,23
0,3,1,1,27
16,7,2,0,44
0,2,0,1,29
5,12,0,1,35
10,14,12,1,26
7,25,2,1,27
1,5,0,0,19
5,12,0,1,29
5,6,5,0,40
14,25,4,1,30
3,7,2,1,28
17,1,0,1,43
5,1,0,1,42
0,4,0,1,19
2,7,1,0,23
7,6,0,1,20
2,9,1,1,26
2,1,2,1,38
2,4,1,0,29
1,2,0,1,18
5,15,3,1,19
5,2,1,1,26
17,42,2,0,44
6,13,3,0,29
3,5,3,1,27
0,2,0,0,28
0,2,0,0,41
3,3,1,1,25
8,21,6,1,32
6,11,3,1,27
4,10,1,1,21
5,11,0,1,30
0,2,0,1,35
4,2,0,1,24
2,8,1,0,29
3,2,1,0,21
4,9,1,1,26
4,3,6,1,35
3,2,4,1,41
9,26,0,0,24
1,6,0,1,35
5,7,0,1,39
3,7,3,1,33
1,4,0,1,23
0,2,2,0,38
0,8,3,1,23
15,40,1,1,30
6,2,1,1,27
5,23,2,1,38
1,3,1,1,28
4,5,0,1,19
5,3,1,0,34
9,3,0,1,26
3,12,3,1,21
3,14,1,1,25
0,5,0,1,23
12,30,5,1,26
3,16,0,0,20
2,7,0,1,28
1,4,0,0,23
2,4,3,1,51
1,2,1,0,33
2,3,1,1,23
3,2,2,1,24
4,3,2,1,32
0,2,0,1,27
1,2,0,1,20
1,7,1,1,22
1,3,1,0,29
1,1,1,1,30
1,4,1,1,31
2,8,5,1,41
4,4,0,1,29
2,10,1,1,22
1,2,0,1,24
1,1,2,1,22
4,9,0,0,32
0,2,0,0,36
3,5,3,1,29
4,4,2,1,27
1,2,1,1,37
0,3,0,1,19
0,1,0,1,42
4,11,2,1,30
1,8,0,1,39
0,4,1,1,41
3,7,0,1,20
2,9,0,1,31
0,5,1,1,32
0,1,0,1,20
3,2,2,1,25
5,5,0,1,24
0,2,0,1,36
0,1,0,1,28
12,11,3,1,26
0,3,4,1,26
6,8,3,1,27
0,1,3,0,31
1,18,3,0,21
0,1,0,1,18
6,2,1,0,56
3,2,1,1,30
1,4,0,1,29
5,5,2,0,22
7,5,8,0,41
2,7,1,1,43
7,16,1,1,24
0,2,0,1,23
2,0,0,1,33
2,2,2,1,24
2,0,0,1,26
4,0,1,1,26
3,0,1,0,39
1,4,1,1,51
7,21,0,1,26
3,11,7,1,26
7,1,0,0,42
4,0,6,1,47
2,0,0,0,37
0,1,0,1,19
0,2,0,1,25
0,2,1,0,21
1,1,0,0,18
3,4,2,1,35
0,1,0,1,38
3,5,0,0,26
0,9,1,1,30
3,11,1,1,34
0,1,1,1,24
1,2,5,1,27
3,9,1,1,22
6,14,1,1,29
31,5,22,1,33
0,4,1,1,19
3,4,2,1,26
2,2,5,1,26
1,2,0,0,31
1,0,0,0,47
10,27,4,1,27
0,1,0,1,31
0,8,0,1,26
1,3,0,0,20
0,4,0,1,27
0,2,0,1,29
5,10,0,1,25
1,4,2,1,24
1,14,3,1,28
2,4,2,1,37
6,9,0,0,41
5,11,2,1,26
0,4,0,1,25
0,3,0,1,36
0,1,0,1,23
1,5,0,1,19
2,9,2,1,22
0,1,0,1,38
1,3,1,1,28
5,15,1,1,33
5,4,1,1,27
3,7,2,1,29
0,1,0,1,22
0,6,0,1,24
4,14,0,1,19
15,29,4,0,23
4,14,5,1,24
1,8,0,1,20
0,4,0,1,23
1,6,0,1,30
5,2,6,0,28
3,5,1,0,31
3,2,3,1,38
1,2,0,1,27
0,1,0,1,44
1,1,0,1,30
1,1,0,1,19
0,1,0,1,18
4,22,2,1,23
7,31,1,1,22
0,2,0,1,30
5,7,2,1,25
0,1,0,1,23
0,1,1,1,34
13,35,2,1,35
5,9,3,1,27
1,5,0,1,30
0,1,2,1,37
2,5,1,0,32
1,3,0,1,21
3,11,1,1,20
2,6,1,1,28
0,3,0,0,27
1,2,4,1,25
1,4,0,0,29
1,0,2,0,25
0,2,0,0,21
2,2,1,0,19
2,3,1,1,19
5,3,5,1,37
2,3,1,1,38
2,7,1,1,18
4,6,0,1,29
6,2,4,0,22
2,8,0,1,24
0,5,1,1,31
1,7,1,1,37
3,2,4,1,35
0,1,0,0,35
2,6,3,1,27
5,10,2,1,20
2,0,0,0,41
4,6,5,1,30
3,7,2,0,22
0,1,1,1,53
4,18,2,1,23
1,1,0,1,19
3,8,3,1,32
5,11,1,1,27
3,4,1,1,31
5,12,2,1,25
1,1,0,1,20
2,12,0,1,21
1,1,1,0,22
1,3,0,1,20
1,10,1,1,22
4,5,1,1,35
0,2,0,1,26
5,4,0,1,53
0,1,0,1,22
5,21,3,1,31
3,1,1,0,48
1,5,0,1,24
4,13,5,1,30
3,6,2,1,43
2,3,2,0,20
3,1,0,1,18
6,6,5,1,32
2,20,2,1,21
5,4,1,1,28
0,2,0,1,42
1,7,0,1,21
0,3,1,1,18
0,9,2,1,35
3,5,0,1,20
0,1,2,1,20
0,2,0,1,28
1,10,4,1,28
2,4,0,1,26
3,4,0,1,23
1,4,0,1,26
0,2,3,0,21
2,0,0,0,40
4,10,0,0,21
5,10,3,0,30
2,4,3,1,33
0,2,0,1,39
0,2,1,1,20
7,13,9,1,35
3,8,1,1,21
3,2,1,1,21
0,1,1,1,20
0,1,0,1,31
1,2,0,0,27
7,8,9,0,25
0,3,1,1,29
0,2,5,0,53
4,0,0,1,23
2,16,2,1,33
7,13,5,1,32
4,9,0,1,30
0,4,2,1,39
1,1,0,0,30
2,29,1,1,32
0,5,1,1,33
3,2,0,1,25
0,1,0,1,27
1,1,0,0,33
3,3,2,1,33
0,1,0,1,32
2,2,1,0,26
